coding_CID coding_FDR as_CID as_FDR
CID011594774 0.92 CID053466728 0.949333333333333
CID010286382 0.920353982300885 CID006539477 0.949557522123894
CID009925594 0.920704845814978 CID009880709 0.949779735682819
CID021027446 0.921052631578947 CID044525962 0.95
CID009914412 0.921397379912664 CID009836405 0.950218340611354
CID006539480 0.921739130434783 CID044525963 0.950434782608696
CID044525927 0.922077922077922 CID015407403 0.950649350649351
CID053469453 0.922413793103448 CID006539519 0.950862068965517
CID006539516 0.92274678111588 CID006539416 0.951072961373391
CID044536075 0.923076923076923 CID051354901 0.951282051282051
CID044328896 0.923404255319149 CID006539566 0.951489361702128
CID006539578 0.923728813559322 CID044525932 0.951694915254237
CID025263084 0.924050632911392 CID000099545 0.951898734177215
CID044526069 0.92436974789916 CID006539507 0.952100840336134
CID006539565 0.924686192468619 CID044526068 0.952301255230126
CID044592364 0.925 CID044525931 0.9525
CID006539486 0.925311203319502 CID044532683 0.952697095435685
CID044578252 0.925619834710744 CID044525948 0.952892561983471
CID044532639 0.925925925925926 CID056673950 0.953086419753086
CID009929101 0.926229508196721 CID044525923 0.95327868852459
CID006539472 0.926530612244898 CID044525961 0.953469387755102
CID024804780 0.926829268292683 CID044525934 0.953658536585366
CID017755233 0.927125506072874 CID053245731 0.953846153846154
CID044525939 0.92741935483871 CID057401865 0.954032258064516
CID010278843 0.927710843373494 CID009861063 0.95421686746988
CID044525959 0.928 CID024949702 0.9544
CID025093464 0.928286852589641 CID044328970 0.954581673306773
CID006539506 0.928571428571429 CID045270417 0.954761904761905
CID044529229 0.928853754940711 CID044525945 0.954940711462451
CID006539461 0.929133858267717 CID070685440 0.955118110236221
CID000447966 0.929411764705882 CID045481463 0.955294117647059
CID044532445 0.9296875 CID011595752 0.95546875
CID044433573 0.929961089494163 CID006539550 0.955642023346304
CID006539602 0.930232558139535 CID044532432 0.955813953488372
CID006539513 0.930501930501931 CID006539376 0.955984555984556
CID001489204 0.930769230769231 CID024803301 0.956153846153846
CID053467178 0.931034482758621 CID044525966 0.95632183908046
CID044529385 0.931297709923664 CID057398392 0.956488549618321
CID006539605 0.931558935361217 CID056680318 0.956653992395437
CID044305812 0.931818181818182 CID044532102 0.956818181818182
CID009923028 0.932075471698113 CID006539509 0.956981132075472
CID044525960 0.932330827067669 CID044525929 0.957142857142857
CID044525485 0.932584269662921 CID018536646 0.957303370786517
CID011231979 0.932835820895522 CID017755746 0.957462686567164
CID044525970 0.933085501858736 CID006539394 0.957620817843866
CID044525937 0.933333333333333 CID011682470 0.957777777777778
CID044529831 0.933579335793358 CID018536633 0.957933579335793
CID024803300 0.933823529411765 CID044526075 0.958088235294118
CID009836051 0.934065934065934 CID011682680 0.958241758241758
CID006539610 0.934306569343066 CID057403576 0.958394160583942
CID044529101 0.934545454545455 CID044527603 0.958545454545455
CID011524582 0.934782608695652 CID044525933 0.958695652173913
CID010595057 0.935018050541516 CID045271247 0.95884476534296
CID009814925 0.935251798561151 CID009925372 0.958992805755396
CID044532297 0.935483870967742 CID006539523 0.959139784946237
CID051356854 0.935714285714286 CID011594774 0.959285714285714
CID044528946 0.935943060498221 CID010286382 0.959430604982206
CID006539587 0.936170212765957 CID009914412 0.959574468085106
CID010267580 0.936395759717314 CID006539480 0.959717314487633
CID044525928 0.936619718309859 CID044525927 0.959859154929577
CID044525946 0.936842105263158 CID006539516 0.96
CID057401867 0.937062937062937 CID044536075 0.96013986013986
CID010186182 0.937282229965157 CID044328896 0.960278745644599
CID044527001 0.9375 CID006539578 0.960416666666667
CID006539496 0.937716262975779 CID044526069 0.960553633217993
CID044529112 0.937931034482759 CID006539565 0.960689655172414
CID057396627 0.938144329896907 CID044592364 0.960824742268041
CID046214650 0.938356164383562 CID006539486 0.960958904109589
CID044525944 0.938566552901024 CID044578252 0.961092150170648
CID049798353 0.938775510204082 CID044532639 0.961224489795918
CID011712734 0.938983050847458 CID009929101 0.96135593220339
CID002409198 0.939189189189189 CID017755233 0.961486486486486
CID000156422 0.939393939393939 CID044525939 0.961616161616162
CID057398391 0.939597315436242 CID010278843 0.961744966442953
CID044336137 0.939799331103679 CID044525959 0.961872909698997
CID006539428 0.94 CID025093464 0.962
CID044526072 0.940199335548173 CID006539461 0.962126245847176
CID005329481 0.940397350993378 CID000447966 0.962251655629139
CID044532978 0.940594059405941 CID044532445 0.962376237623762
CID000253268 0.940789473684211 CID006539602 0.9625
CID044525971 0.940983606557377 CID001489204 0.962622950819672
CID006539615 0.941176470588235 CID053467178 0.962745098039216
CID044305551 0.941368078175896 CID044529385 0.962866449511401
CID053469824 0.941558441558442 CID006539605 0.962987012987013
CID044305879 0.941747572815534 CID044305812 0.963106796116505
CID025190914 0.941935483870968 CID044525960 0.963225806451613
CID051356853 0.942122186495177 CID044525485 0.963344051446945
CID044525938 0.942307692307692 CID011231979 0.963461538461538
CID010186009 0.942492012779553 CID044525970 0.963578274760383
CID015872399 0.942675159235669 CID044525937 0.963694267515924
CID044532997 0.942857142857143 CID044529831 0.963809523809524
CID051356289 0.943037974683544 CID024803300 0.963924050632911
CID011793277 0.943217665615142 CID009836051 0.96403785488959
CID006539579 0.943396226415094 CID006539610 0.964150943396226
CID010028480 0.943573667711599 CID044529101 0.964263322884013
CID044526074 0.94375 CID011524582 0.964375
CID044305647 0.94392523364486 CID010595057 0.964485981308411
CID044525947 0.944099378881988 CID009814925 0.964596273291925
CID006539569 0.944272445820433 CID044532297 0.964705882352941
CID044535870 0.944444444444444 CID044528946 0.964814814814815
CID044397192 0.944615384615385 CID006539587 0.964923076923077
CID044525950 0.94478527607362 CID010267580 0.965030674846626
CID044526078 0.944954128440367 CID044525928 0.965137614678899
CID044526685 0.945121951219512 CID057401867 0.965243902439024
CID006539492 0.945288753799392 CID044525973 0.965349544072948
CID021078798 0.945454545454545 CID044527001 0.965454545454545
CID046215814 0.945619335347432 CID006539496 0.965558912386707
CID006539524 0.94578313253012 CID011373846 0.96566265060241
CID044397011 0.945945945945946 CID044529112 0.965765765765766
CID044305594 0.946107784431138 CID044525944 0.965868263473054
CID006539529 0.946268656716418 CID049798353 0.965970149253731
CID057345685 0.946428571428571 CID011712734 0.966071428571429
CID049862783 0.946587537091988 CID002409198 0.966172106824926
CID070685442 0.946745562130177 CID000156422 0.966272189349112
CID000667570 0.946902654867257 CID057398391 0.966371681415929
CID006539609 0.947058823529412 CID044336137 0.966470588235294
CID009888013 0.947214076246334 CID006539428 0.966568914956012
CID010158539 0.947368421052632 CID044526072 0.966666666666667
CID044525943 0.947521865889213 CID005329481 0.966763848396501
CID010621826 0.947674418604651 CID044525971 0.966860465116279
CID015521230 0.947826086956522 CID006539615 0.96695652173913
CID044591552 0.947976878612717 CID044305879 0.967052023121387
CID044532480 0.948126801152738 CID006539481 0.967146974063401
