molid,CS
CID025263085,0.953002610966057
CID044525969,0.953125
CID044336144,0.9532467532467528
CID053467617,0.953367875647668
CID025263102,0.953488372093023
CID022609863,0.95360824742268
CID011716589,0.9537275064267348
CID053469634,0.0
CID011220119,0.953846153846154
CID001491157,0.953964194373402
CID024802788,0.9540816326530608
CID000003134,0.954198473282443
CID051357696,0.954314720812183
CID057400063,0.954430379746835
CID057391365,0.954545454545455
CID000221158,0.9546599496221658
CID000309461,0.954773869346734
CID011959683,0.9548872180451128
