molid,bglf4_c_s_1,bglf4_c_l_1,bglf4_c_w_1,bglf4_p_s_1,bglf4_p_l_1,bglf4_p_w_1,pknb_c_s_1,pknb_c_l_1,pknb_c_w_1,pknb_p_s_1,pknb_p_l_1,pknb_p_w_1
25218600,0.450549450549,5,-0.41080728290997703,informer,informer,informer,nan,nan,-0.019446153898514996,informer,informer,informer
25218601,0.431818181818,3,-0.424761673926752,informer,informer,informer,nan,nan,-0.019788079101251,informer,informer,informer
25218621,0.225,0,-0.5693843375472472,0.225,1,-1.079017011156304,nan,nan,-0.016975885554380996,0.844827586207,198,-0.13073408833531094
25263078,0.834951456311,100,-0.14533407097162002,0.821917808219,138,-0.560076615338361,nan,nan,-0.030337343594004994,0.8301886792450001,85,-0.134538861610989
25263083,0.864077669903,190,-0.11768695944334205,0.8518518518520001,244,-0.4712384229717381,nan,nan,-0.029505697115935002,0.847619047619,131,-0.11169232408151301
25263087,0.863636363636,187,-0.11696395003310499,0.8521739130429999,275,-0.4478867771919861,nan,nan,-0.031108427935372992,0.827272727273,77,-0.12585608456965597
25263088,0.8532110091740001,156,-0.12440433513659098,0.8421052631579999,178,-0.4881580157927059,nan,nan,-0.031636173260557995,0.827272727273,79,-0.12630689643974197
25263092,0.8155339805830001,60,-0.15670039393655094,0.805555555556,146,-0.5404322226175668,nan,nan,-0.035140136305731,0.844036697248,115,-0.11337521239921802
25263099,0.8,33,-0.16960102632285598,0.790476190476,92,-0.5953375220663518,nan,nan,-0.032543778753137,0.8190476190479999,61,-0.12169940628436499
25263103,0.80198019802,38,-0.16562673784091503,0.80198019802,134,-0.5660143940485951,nan,nan,-0.031993293566085,0.8425925925929999,113,-0.11901154669820203
25263110,0.8317757009350001,89,-0.14781867308195196,0.821428571429,200,-0.5298818332995427,nan,nan,-0.037374927212884,0.827272727273,81,-0.150843962237701
