"coding_CID" "coding_FDR" "as_CID" "as_FDR"
"177" "CID044525941" 0.951977401129944 "CID006539398" 0.935593220338983
"178" "CID044397687" 0.952247191011236 "CID053469449" 0.935955056179775
"179" "CID005329477" 0.952513966480447 "CID044527657" 0.936312849162011
"180" "CID009879605" 0.952777777777778 "CID006539467" 0.936666666666667
"181" "CID053466728" 0.953038674033149 "CID045272980" 0.937016574585635
"182" "CID009935852" 0.953296703296703 "CID044532720" 0.937362637362637
"183" "CID006539477" 0.953551912568306 "CID006539613" 0.937704918032787
"184" "CID009880709" 0.953804347826087 "CID009958299" 0.93804347826087
"185" "CID000069689" 0.954054054054054 "CID044525953" 0.938378378378378
"186" "CID044525962" 0.954301075268817 "CID044532478" 0.938709677419355
"187" "CID009836405" 0.954545454545455 "CID009945516" 0.93903743315508
"188" "CID044525963" 0.954787234042553 "CID011133737" 0.93936170212766
"189" "CID044525952" 0.955026455026455 "CID006539498" 0.93968253968254
"190" "CID006539519" 0.955263157894737 "CID006539465" 0.94
"191" "CID006539416" 0.955497382198953 "CID056670156" 0.940314136125654
"192" "CID006539591" 0.955729166666667 "CID053317178" 0.940625
"193" "CID051354901" 0.955958549222798 "CID066561090" 0.940932642487047
"194" "CID006539566" 0.956185567010309 "CID011529890" 0.941237113402062
"195" "CID011514099" 0.956410256410256 "CID006539426" 0.941538461538462
"196" "CID044525932" 0.956632653061224 "CID044529278" 0.941836734693878
"197" "CID051354328" 0.956852791878173 "CID024804298" 0.942131979695431
"198" "CID006539507" 0.957070707070707 "CID044532690" 0.942424242424242
"199" "CID044526068" 0.957286432160804 "CID044525951" 0.942713567839196
"200" "CID044525931" 0.9575 "CID044529262" 0.943
"201" "CID044532683" 0.95771144278607 "CID011224168" 0.943283582089552
"202" "CID044525948" 0.957920792079208 "CID044279444" 0.943564356435644
"203" "CID056673950" 0.958128078817734 "CID044525965" 0.94384236453202
"204" "CID044525923" 0.958333333333333 "CID006539512" 0.944117647058824
"205" "CID044525961" 0.958536585365854 "CID044525922" 0.944390243902439
"206" "CID044525934" 0.95873786407767 "CID006539475" 0.944660194174757
"207" "CID053245731" 0.958937198067633 "CID044525942" 0.944927536231884
"208" "CID057401865" 0.959134615384615 "CID044532477" 0.945192307692308
"209" "CID009861063" 0.95933014354067 "CID044397393" 0.945454545454545
"210" "CID024949702" 0.95952380952381 "CID009901062" 0.945714285714286
"211" "CID044528968" 0.959715639810427 "CID044525967" 0.945971563981043
"212" "CID045270417" 0.959905660377358 "CID044525964" 0.94622641509434
"213" "CID044525945" 0.960093896713615 "CID044571415" 0.946478873239437
"214" "CID045481463" 0.960280373831776 "CID044525935" 0.946728971962617
"215" "CID044525955" 0.96046511627907 "CID044525954" 0.946976744186046
"216" "CID011595752" 0.960648148148148 "CID044532446" 0.947222222222222
"217" "CID006263849" 0.960829493087558 "CID071451677" 0.947465437788018
"218" "CID006539550" 0.961009174311927 "CID044591845" 0.947706422018349
"219" "CID044532432" 0.961187214611872 "CID044525930" 0.947945205479452
"220" "CID006539376" 0.961363636363636 "CID044525949" 0.948181818181818
"221" "CID006539427" 0.961538461538462 "CID044525920" 0.94841628959276
"222" "CID017917696" 0.961711711711712 "CID044525941" 0.948648648648649
"223" "CID057403579" 0.961883408071749 "CID005329477" 0.948878923766816
