molid,rop18_c_s_2,rop18_c_l_2,rop18_c_w_2,rop18_p_s_2,rop18_p_l_2,rop18_p_w_2
CID010267580,0.8064516129029999,68,-0.23351736529457,0.8404255319149999,220,-0.23553471566115997
CID044525928,0.8928571428569999,349,-0.26329875672355,0.745098039216,72,-0.40864972005415
CID044525946,0.858823529412,234,-0.31787666149879,0.6930693069310001,38,-0.42161044177627993
CID057401867,0.906666666667,376,-0.19346042436104,0.864077669903,309,-0.2322050874988
CID010186182,0.9080459770110001,380,-0.17884487115619996,0.807339449541,138,-0.3018892098692201
CID044525973,0.8571428571430001,226,-0.23200660233948994,0.7052631578949999,42,-0.40415735718458007
CID044527001,0.8518518518520001,202,-0.20256730494006997,0.772151898734,87,-0.33483781329732
CID006539496,0.863636363636,263,-0.2752174547427,0.8421052631579999,227,-0.22892651366942002
CID011373846,0.8928571428569999,350,-0.17276966958443005,0.8571428571430001,289,-0.22466128768473997
CID044306199,0.847457627119,187,-0.19605846251086,0.89247311828,372,-0.19894044859803
CID044529112,0.824742268041,112,-0.2398070884447,0.267441860465,3,-0.55083127528138
CID057396627,0.922077922078,394,-0.17187571024805998,0.87619047619,338,-0.22929096204446
CID046214650,0.863636363636,264,-0.20203223535758996,0.9,383,-0.21591981350481995
CID006539504,0.859375,241,-0.20422856622821997,0.886597938144,364,-0.20888226982204
CID044525944,0.864197530864,266,-0.34008731322825203,0.677083333333,32,-0.44269759188944
CID049862644,0.817073170732,98,-0.23436795437249996,0.83185840708,194,-0.24728498471546995
CID049798353,0.8769230769230001,302,-0.18808404724852995,0.826086956522,174,-0.20940148340506998
CID011712734,0.835443037975,146,-0.21406364037333003,0.663157894737,29,-0.36103911003232003
CID002409198,0.8125,81,-0.23047404355471002,0.8064516129029999,137,-0.27782806639707
CID000156422,0.837209302326,155,-0.20598022691642004,0.8053097345129999,133,-0.29538953705845
CID057398391,0.859154929577,238,-0.20313005879804003,0.884615384615,360,-0.23157608988553002
CID044336137,0.8289473684209999,133,-0.21825121529835007,0.8301886792450001,187,-0.26608381316989
CID006539428,0.807692307692,71,-0.23173381695227002,0.561797752809,12,-0.46643825214741996
CID044526072,0.853333333333,210,-0.23273527645338002,0.8252427184469999,173,-0.27889008177762004
CID005329481,0.8507462686570001,200,-0.21549194492067997,0.868686868687,316,-0.24356675630858007
CID044532978,0.825396825397,118,-0.22956937997826998,0.802197802198,127,-0.29791095687944
CID000253268,0.912280701754,385,-0.12308035624602,0.922222222222,395,-0.16437498916999002
CID044525971,0.846153846154,183,-0.23367524931971,0.7373737373739999,61,-0.39359888878776
CID006539615,0.881720430108,317,-0.20696659975406995,0.851239669421,266,-0.27717880207455997
CID044305551,0.903225806452,372,-0.13103409931355997,0.9157894736839999,390,-0.17839001128627002
CID053469824,0.814814814815,90,-0.28456782935588004,0.8508771929819999,263,-0.30473395111705004
CID044305879,0.8571428571430001,227,-0.17600895071262995,0.873684210526,330,-0.21517415012009
CID025190914,0.9176470588240001,391,-0.16084716171403995,0.845454545455,243,-0.20995592292841006
CID006539481,0.8709677419349999,285,-0.24482199726620002,0.858695652174,295,-0.20829511347693005
CID051356853,0.83606557377,152,-0.20679061359600998,0.8842105263160001,359,-0.20510971619584
CID044525938,0.8571428571430001,228,-0.3207273402177,0.69,37,-0.42326041577173
CID010186009,0.831325301205,141,-0.21309866528014,0.7184466019419999,48,-0.38179957774682005
CID015872399,0.7972972972969999,52,-0.24618394052922005,0.8190476190479999,160,-0.25372345427942
CID044532997,0.7321428571430001,17,-0.26594843452664996,0.822222222222,168,-0.29804427040498005
CID051356289,0.779661016949,32,-0.24555014336915998,0.797752808989,117,-0.32091448444458004
CID011793277,0.7424242424240001,19,-0.2509165460352599,0.843137254902,233,-0.25744219783015004
CID006539579,0.835820895522,149,-0.2437440902333,0.822916666667,170,-0.26016723075838993
