molid,bglf4_c_s_2,bglf4_c_l_2,bglf4_c_w_2,bglf4_p_s_2,bglf4_p_l_2,bglf4_p_w_2,pknb_c_s_2,pknb_c_l_2,pknb_c_w_2,pknb_p_s_2,pknb_p_l_2,pknb_p_w_2,rop18_c_s_2,rop18_c_l_2,rop18_c_w_2,rop18_p_s_2,rop18_p_l_2,rop18_p_w_2
CID044525953,0.895833333333,294,-0.048450365951984015,0.827272727273,95,-0.10965708418476999,0.845454545455,183,-0.007227196969694002,0.75,53,-0.144958652665441,0.865168539326,268,-0.25865682131877,0.64,24,-0.41231333387354996
CID044532478,0.8969072164949999,299,-0.043093036307974994,0.8695652173909999,245,-0.08446761198974503,0.846846846847,187,-0.007362487229492003,0.833333333333,141,-0.106228508956439,0.827586206897,124,-0.21368422304991996,0.858333333333,291,-0.28732492255319003
CID044525486,0.8505747126440001,133,-0.056062294605609984,0.7575757575759999,21,-0.13434943120646703,0.8252427184469999,102,-0.007697352928445001,0.7473684210529999,49,-0.147250843535422,0.827160493827,122,-0.28557356224658004,0.586956521739,15,-0.45374599520901
CID009945516,0.7741935483869999,11,-0.058491073527514,0.875,261,-0.086409466882472,0.858823529412,247,-0.008415799460703002,0.869047619048,264,-0.07542391013994801,0.225,2,-0.49785700633096003,0.835164835165,204,-0.24880625206191
CID011133737,0.894117647059,283,-0.04270407753357199,0.875,262,-0.08805972860515399,0.7894736842110001,24,-0.008199999999981998,0.835051546392,150,-0.09564736569928801,0.813333333333,82,-0.24264164668430002,0.8301886792450001,186,-0.27753701164154
CID006539498,0.8695652173909999,176,-0.06001496013839902,0.902173913043,353,-0.06798698060081601,0.875,308,-0.007232391304359003,0.872093023256,273,-0.07228216153529199,0.8769230769230001,301,-0.24620103805788,0.863157894737,307,-0.22838273760288
CID006539465,0.8064516129029999,50,-0.07324703669865601,0.910112359551,366,-0.06448287833778898,0.8823529411759999,336,-0.007744794780499002,0.879518072289,314,-0.06834806173465298,0.8688524590160001,277,-0.28240615876647,0.8314606741570001,190,-0.22133649854983994
CID044525974,0.8518518518520001,137,-0.057927794664312,0.752688172043,18,-0.13591449054399302,0.8484848484849999,193,-0.007158175962527001,0.833333333333,142,-0.09728146496864898,0.8421052631579999,170,-0.22144804227530002,0.7821782178219999,98,-0.32057911425539
CID056670156,0.891089108911,270,-0.045885012995922014,informer,informer,informer,0.823008849558,94,-0.007214317006909,informer,informer,informer,0.849462365591,195,-0.23018114398881,informer,informer,informer
CID053317178,0.796610169492,35,-0.051078385734735,0.880952380952,288,-0.077647171562272,0.835443037975,144,-0.008612378411195002,0.90243902439,362,-0.057479499841207,0.8,53,-0.23309606507238,0.8777777777779999,345,-0.19560031539136005
CID066561090,0.8777777777779999,210,-0.04574947595145201,0.872727272727,256,-0.08231273171277999,0.257142857143,3,-0.018629563492063003,0.846153846154,187,-0.08898694766256698,0.8571428571430001,220,-0.27871984598950994,0.8508771929819999,260,-0.30956827468885995
CID011529890,0.784615384615,26,-0.050435819012739,0.879120879121,277,-0.081701346564447,0.8505747126440001,205,-0.007833952254641,0.873563218391,280,-0.07247373416937097,0.27906976744199996,4,-0.45634863313311996,0.852631578947,270,-0.22710131848242
CID006539426,0.904761904762,324,-0.044120041770173,0.883495145631,296,-0.100511831035448,0.87,295,-0.0065435930735979995,0.6125,5,-0.20588839395556896,0.791666666667,45,-0.24782114987222997,0.493827160494,9,-0.48711082379883
