molid,bglf4_c_s_2,bglf4_c_l_2,bglf4_c_w_2,bglf4_p_s_2,bglf4_p_l_2,bglf4_p_w_2,pknb_c_s_2,pknb_c_l_2,pknb_c_w_2,pknb_p_s_2,pknb_p_l_2,pknb_p_w_2
CID006539569,nan,nan,-0.06045103380143201,nan,nan,-0.09769303120490999,nan,nan,-0.008551612903235,0.8681318681319999,262,-0.07698254832762802
CID015838857,nan,nan,-0.035025209984703015,nan,nan,-0.09097406906832298,nan,nan,-0.006784655159507005,0.733333333333,26,-0.144362257046326
CID044529831,nan,nan,-0.03960150386186,nan,nan,-0.106701188326709,nan,nan,-0.005713880445804,0.787234042553,88,-0.130351974031724
CID046927672,nan,nan,-0.049233550900092,nan,nan,-0.102104586816927,nan,nan,-0.008713095238096998,0.743119266055,42,-0.201886681459734
CID010287409,nan,nan,-0.04946626012109501,nan,nan,-0.073061477411559,nan,nan,-0.008151522553336,0.8666666666670001,255,-0.07761991311238796
CID045271243,nan,nan,-0.039046930381602014,nan,nan,-0.07411879013636298,nan,nan,-0.005864520202023002,0.786516853933,87,-0.11586812030850702
CID006539610,nan,nan,-0.0507014619942,nan,nan,-0.08834139516209896,nan,nan,-0.007550483091797001,0.8666666666670001,257,-0.07641005875259797
CID045271244,nan,nan,-0.044317806028075,nan,nan,-0.089364644362207,nan,nan,-0.0059607480641910016,0.8369565217389999,157,-0.09281564620506903
CID045271247,nan,nan,-0.03955147922583101,nan,nan,-0.074971231932111,nan,nan,-0.005343983602617999,0.847826086957,195,-0.083986972346933
CID057394915,nan,nan,-0.05019900744580001,nan,nan,-0.09496441560244198,nan,nan,-0.008141498062841,0.84,171,-0.090948735035245
CID025093464,nan,nan,-0.04355476402828599,nan,nan,-0.079004635850517,nan,nan,-0.006343827650028998,0.897959183673,352,-0.063525112864365
CID000000007,nan,nan,-0.027886379681617994,nan,nan,-0.055545423494320983,nan,nan,-0.006266201980347,0.911392405063,382,-0.054500620259465
CID044306199,nan,nan,-0.03450914149454699,nan,nan,-0.05828243033621397,nan,nan,-0.006850138600146997,0.904761904762,369,-0.056933183368799
CID011716589,nan,nan,-0.05842635347629501,nan,nan,-0.09633258336594597,nan,nan,-0.008765865917029003,0.845238095238,184,-0.08758687341818001
CID025263084,nan,nan,-0.07654402431261201,nan,nan,-0.08970326273712499,nan,nan,-0.008314886727341,0.8877551020409999,336,-0.06772986466026704
CID025263085,nan,nan,-0.07857545985518402,nan,nan,-0.093625522718248,nan,nan,-0.008108181818198,0.903846153846,367,-0.06225197578105801
CID044532477,nan,nan,-0.044943134641592,nan,nan,-0.09418792416174498,nan,nan,-0.007173556396430001,0.834951456311,148,-0.09953185021942001
CID051354036,nan,nan,-0.04633030824026599,nan,nan,-0.10279281935442501,nan,nan,-0.007760077813936002,0.833333333333,139,-0.09596060380107801
CID044433573,nan,nan,-0.051157939251774004,nan,nan,-0.089084527808934,nan,nan,-0.007204863219959999,0.873684210526,286,-0.07549269545645
CID044526099,nan,nan,-0.047179195061169,nan,nan,-0.09742794214133799,nan,nan,-0.006696365620273001,0.7125,12,-0.15945941128853297
