molid,rop18_c_s_2,rop18_c_l_2,rop18_c_w_2,rop18_p_s_2,rop18_p_l_2,rop18_p_w_2
CID011712734,nan,nan,-0.21406364037333003,nan,nan,-0.36103911003232003
CID015407403,nan,nan,-0.24950243862718996,nan,nan,-0.30160687500076
CID044397687,nan,nan,-0.23205755190790003,nan,nan,-0.25516619086229
CID044532978,nan,nan,-0.22956937997826998,nan,nan,-0.29791095687944
CID044328896,nan,nan,-0.22461268001171003,nan,nan,-0.27006296582806
CID010135552,nan,nan,-0.22730863160239997,nan,nan,-0.25503287575959
CID011373846,nan,nan,-0.17276966958443005,nan,nan,-0.22466128768473997
CID021078798,nan,nan,-0.22197114916008004,nan,nan,-0.21970760521063998
CID045481463,nan,nan,-0.29677630079471007,nan,nan,-0.31679465987400995
CID006450551,nan,nan,-0.22766433107913997,nan,nan,-0.23806827167989
CID044578709,nan,nan,-0.25406972018722995,nan,nan,-0.32811818709755997
CID010452739,nan,nan,-0.24035009207021002,nan,nan,-0.24709495967404999
CID057396626,nan,nan,-0.17315762536183998,nan,nan,-0.23315396778443004
CID000069689,nan,nan,-0.12830356098856993,nan,nan,-0.17459008997506004
CID044532720,nan,nan,-0.29791542825074,nan,nan,-0.23862814837698001
CID053322416,nan,nan,-0.29752259417573,nan,nan,-0.23115615991507998
CID024804298,nan,nan,-0.23255657732108004,nan,nan,-0.41269375355716004
CID044532480,nan,nan,-0.22309613344786997,nan,nan,-0.27119304051499
CID057396625,nan,nan,-0.19007154312124996,nan,nan,-0.23014269297307
CID006539579,nan,nan,-0.2437440902333,nan,nan,-0.26016723075838993
CID057345685,nan,nan,-0.19137259468314005,nan,nan,-0.22338300852928994
CID044529220,nan,nan,-0.23520713149869,nan,nan,-0.49055635068666
CID051355190,nan,nan,-0.24186457946009,nan,nan,-0.27406794972253995
CID045480848,nan,nan,-0.22710396997107002,nan,nan,-0.29662630840733994
CID015872399,nan,nan,-0.24618394052922005,nan,nan,-0.25372345427942
CID045270417,nan,nan,-0.21851985126675996,nan,nan,-0.24190731200103
CID044525943,nan,nan,-0.29041581199249006,nan,nan,-0.40718846412116
CID011626560,nan,nan,-0.19099354301009003,nan,nan,-0.22821416771753
CID009923028,nan,nan,-0.24157410581851996,nan,nan,-0.23563772264747998
CID044525958,nan,nan,-0.29369022052947996,nan,nan,-0.42804487391347
CID044525959,nan,nan,-0.27194599952714,nan,nan,-0.4093491274393001
CID044532438,nan,nan,-0.20199204921821,nan,nan,-0.28035135257948995
CID000253268,nan,nan,-0.12308035624602,nan,nan,-0.16437498916999002
CID044526685,nan,nan,-0.21174750123792002,nan,nan,-0.27479718736765
CID044532432,nan,nan,-0.17916447146320996,nan,nan,-0.23841027979221002
CID044525952,nan,nan,-0.26645036604461,nan,nan,-0.42728699873171
CID005330286,nan,nan,-0.17025996249109,nan,nan,-0.2514562516288801
CID044525954,nan,nan,-0.2690487040327201,nan,nan,-0.41201575261213996
CID044525955,nan,nan,-0.31411340049243996,nan,nan,-0.44235489066208006
CID044525956,nan,nan,-0.28086703918025,nan,nan,-0.41476029955657
CID044525957,nan,nan,-0.26055169953567,nan,nan,-0.42015863067312
CID023648920,nan,nan,-0.23078247980137,nan,nan,-0.35187289110835007
CID044525950,nan,nan,-0.28375744297609,nan,nan,-0.43281416701164
CID044527657,nan,nan,-0.25286633231254,nan,nan,-0.25055722296573
CID024803300,nan,nan,-0.270637428440711,nan,nan,-0.39561753281121
CID024803301,nan,nan,-0.25432064383663994,nan,nan,-0.3658614411775
CID044525951,nan,nan,-0.25379987805162,nan,nan,-0.42347091756841004
CID023648887,nan,nan,-0.22080593096732998,nan,nan,-0.37521029752394996
CID006539550,nan,nan,-0.26111600523671996,nan,nan,-0.3031662661439
CID011959683,nan,nan,-0.19037698991883,nan,nan,-0.22705690039916998
CID022112846,nan,nan,-0.21568465504065998,nan,nan,-0.29061609857359005
CID044479934,nan,nan,-0.20551372815892002,nan,nan,-0.23715812242031
CID010310395,nan,nan,-0.19659844728377995,informer,informer,informer
CID024949702,nan,nan,-0.22356176956498994,nan,nan,-0.4034198096000501
CID006539416,nan,nan,-0.23355805878415,nan,nan,-0.47975314666468005
CID009945516,nan,nan,-0.49607129204524,nan,nan,-0.24880625206191004
CID011133737,nan,nan,-0.24129029533294,nan,nan,-0.27753701164154
CID049862644,nan,nan,-0.23436795437249996,nan,nan,-0.24728498471546995
CID011514099,nan,nan,-0.22310014739862005,nan,nan,-0.18573116016171
CID001491157,nan,nan,-0.16763553000756004,nan,nan,-0.20534380053809
CID060150509,nan,nan,-0.17189042600333,nan,nan,-0.22414161343061995
CID024803786,nan,nan,-0.20597724269349,nan,nan,-0.32208355150723
CID046886665,nan,nan,-0.15049079318518005,nan,nan,-0.19811833952122
CID044571415,nan,nan,-0.18524542107918002,nan,nan,-0.23837674808987006
CID053317178,nan,nan,-0.23113528075866,nan,nan,-0.19560031539136005
CID009925594,nan,nan,-0.22459786774953006,nan,nan,-0.20216256398763002
